@relation all-weka.filters.unsupervised.attribute.NominalToString-Cfirst-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute text string
@attribute class {-1,1}

@data
'geçtim ben herþeyden vazgeçtim bir gülüþün kaldý bir de çekip gidiþin hafýzamda',-1
'bana mal demiþ çok üzüldüm oysa sülük gibi yapýþan biri için marjinal biþi beklerdim kiþiliðinin hakkýný vermedin',-1
'ben gidiyom bay vikingler ve gangsterler sizede bay normal yaratýklar  ? ?',-1
'ne halt yediðin belli deil',-1
'onu bunu boþverde bizim sonumuz ne olucak böyle  ?',-1
'býrakýn aþk acýsýný siz yanýk acýsý nedir bilir misiniz  ? ?',-1
'geçen sene bu zamanlar þilideydim þimdi þiledeyim  ? ? ? ? ? ? hayat garip',-1
'içmediðim þeyin lafýný niye yapýyon amk  ? ?',-1
'uyumsuzum ve kontrol edemiyorum',-1
'yine sana sövüyor yina sana susuyorum',-1
'ya beni bi okuyup üfleyin',-1
'uyumak istiyorum  ? ? ? ?',-1
'karar verdim bu zamana kadar boþ insanlarla çok oyalanmisim',-1
'aman o üzülmesin aman bu kýrýlmasýn diye paramparça olduk',-1
'kýþ günü düðün mü olur aq hiç iþim yok bide düðüne gitcem ok ok',-1
'artik eve ýþýnlanmak istiyorum sabahtan beri dýþardayimm',-1
'kendimden sýkýldým artik',-1
'yorgunum ve mala baðladým ',-1
'allam benim moral niye hep sýfýr',-1
'kaç kez ayný yerden öldürür hayat  ? ',-1
'kaç kez kaybeder bir insan  ?',-1
'bekliyor bekliyor bekliyor',-1
'babanem beni denizim parka götürmeye gelmiþ bende bok varmýþ gibi alanyaya geldim',-1
'ne demiþ nazým hikmet yürekli bir kadýnýn baþý yüreksiz bir adamýn omzuna aðýr gelir',-1
'beþiktaþk yazmayin aq yanlis okuyoruz sjsjsjsjj',-1
'beni merak etmeyeni ben hic etmem',-1
'demek beni ellemeyi özledin piremses ? ? ? ? ecemozgececii httptcobxflnyor7a',-1
'yine uyuzlugun mu üstünde¿',-1
'ettiðimiz israflarýn günahlarýný affeyle ya rabbi  ! israfýn dibine vuruyoruz çünkü ',-1
'aybikeyi bi özlemiþim bi özlemiþim nasýl özlemiþim öyle  ? ?',-1
'yok abi elektrik siz olmuyor',-1
'onun gökyüzünde benim yerim yoktu',-1
'kadýnlar yanlýþ erkeðe aþýk olur erkekler ise doðru kadýna yanlýþ yapar nettir',-1
'bizi üzen bok yesin',-1
'allaaam yýllar sonra kalp ritmimi deðiþtiren bi insan evladi var bu normal mi ! ? ! ? ! ?',-1
'bu ne biçim antalya havasý',-1
'çok midem bulanýyor þimdi otobüse kusucam',-1
'dun gördüm otobüste giderken seni pek dusunceliydin ironili',-1
'nevþehire döneceðimi öðrenince yavuz  ? ? ? ? ? ? ? ? mhsnkrmzgl httptcomcizrwixhq',-1
'keþke tipiniz deðil de karakteriniz evrim geçirse',-1
'dýþarda uçan insanlar var aq',-1
'misafirin çocuðu 6 yaþýnda þýmarýk erkek mesleðimi yapmak isteyen bir piç saturday night horror',-1
'herkes bi çare olmuþ gardaþ la',-1
'trafik bitmez ali fuat basgil httpstco0tied8dpye',-1
'kimse beni üzemez ben sadece kafama takar üzülürüm',-1
' bu ve  ? ? çok farklý anasýný satýyým',-1
'istanbula veda zamaný kale seyahat in istanbul türkiye httptcog71gtc4cng',-1
'ah bu kara sevda alacak misun canumi',-1
'aslan burcu ibne olur derler ama sen bilirsin tabi karþim',-1
'ben sigara dumanýn altýnda yana yana en sonunda kül oldum',-1
'sen kibritin hiç yanmayan ucunda birinin hayatýndan geçmiþ oldun ',-1
'daha dur daha durrr !',-1
'zaten tadý da kalmadý o eski susmalarýn',-1
'sonuc olarak twitter instagram whatsapp bile hep can sýkýntýsýndan zaten bu alem de can sýkýntýsý mahsulu degil mi  ?',-1
'býktým ? ?',-1
'bence yarýn ortadan kaybol evren seni fark etmez ya  ? ?',-1
'bu þehirde trafiðin olmadýðý bir güne denk gelmek bu kadar mý zor ya  ? ?',-1
'benim sakarlýðýma bi alkýþ alayým kulak yolunu delmiþim amk bildiðin delik sakarlýðýmýn amk',-1
'tv programlarýnýn yüzde doksanýnýn tamamiyle saçmalýk olmasý',-1
'çok hastayým  istanbul þafak hastanesi httpstco1qqjvazhzi',-1
'açýmaçým ey medeni ülkeler  ! ! ! bizim insan haklarýmýz nerede  ? suriyeli küçük bir kýz çocuðu',-1
'buna ne diyeceksiniz  ? ! ! ! ! !',-1
'nasýl seviyorum belli deðil',-1
'aslýnda en kötü þeydir deðer verdiðiniz insanýn deðiþtiðini görmek',-1
'beyin için uyku diye bir olay söz konusu deðil !',-1
'mesaj atin valla sýkýldým s',-1
'bi alo de gelmezsem gençliðim solsun  ?',-1
'çirkin bayan yoktur bakýmsýz bayan vardýr',-1
'ya ben günahtýr falan diye din derslerinde uyumuyordum ne küfürü¿',-1
'paran varsa adamsýn denilen yerden kaçtým',-1
'çok sýradan bi tatil daha aq',-1
'vakit demir alma vaktidir dostlar iyi bakin kendinize aþti in ankara türkiye httpstco5uu9ahcqzr',-1
'kaç kez kaybeder bi insan ?',-1
'instagram da bi çocuk bana fotograflarini çok hoþ nerde oturuyorsun yazmis bende koltukta dedim diye bütün fotog begenmekten vazgecti ',-1
'çok sevdiðim biri var haram bana',-1
'arada bana geliyorlar ve o siniri birinden çýkaramazsam 3 gün yatak döþek depresyona giriyorum ! o yüzden bana sakin ol demeyin',-1
'bu da sana yeter httptcom4fb8byaas',-1
'hiç yalnýz býrakmaz anýlar çünkü en çook mesafeyi severlerr ? ?',-1
'suratima telefonu kapatamazsin bn siratina kapatirim ok by ',-1
'bi sandalye bank koymak kimsenin aklýna gelmemiþ mi arkadaþ ! lüleburgaz otogarý in kýrklareli türkiye httpstcoc758pevjdy',-1
'basketbolda olmasa bu hayat yaþanmaz amk',-1
'çok abarttý çoook',-1
'2ye ölüm tehlikesi geçirdim bi dahakine güme gidicem ? ?',-1
'sa yorgunluktan iflahým sikildi',-1
'düþtük yine çaresiz iddanýn yollarýna',-1
'ucuz malin alicisi cok olurmus ? ?',-1
'tek eðlencem balkonda sigara içmek',-1
'niye bana unf yapýyonuz amciklar',-1
'insanlarýn çirkin diye attýklarý fotoðraflara bakýyorum daçirkin olmasalar nasýl çýkacaklar merak ediyorum',-1
'ben okuduðum kitabý bir daha okumam ',-1
'prensip meselesi ',-1
'çok yediðim zamanlar sofradan bu sekil kalkýyorum httptcowiy8mxywnb',-1
'özlediðin birini görememek en kötüsü',-1
'gelmezsen gelme ulaan d',-1
'böyle günlerce uyumak istiyorum ',-1
'baþkasý için deðiþme',-1
'geçtim ben herþeyden vazgeçtim bir gülüþün kaldý bir de çekip gidiþin hafýzamda',-1
'vefasiz eksik yarým ferhat göçer ',-1
'gülerken hepiniz benle gülüyorsunuzama aðlayýnca neden ben tek aðlýyorum ?¿',-1
'insan gerçekten hayret ediyor ? ?',-1
'iyi gün dostlarý sizi',-1
'bu sevdadan fayda yok geçirmiþiz zamaný',-1
'saçmalama tabikide sigara içen kýz iticidir',-1
'yanlýþ yaptýysam doðrusu hoþuma gitmemiþtir  ? ?',-1
'bazen oyle anlar olur ki zaman orda dursun istersin',-1
'bu iþlerin amýna koyayým  ? ? tigers home  ? ? httpstcomwv4e3qd4o',-1
'tayyip 10 bininci kez yeni anayasa için oy istedi',-1
'sen kimsin ya ?',-1
'ilker seni sessize aldým unf atmadým fav felanda yok ayrýca bil istedim',-1
'kizlar espiri yapmasin mk hayat duruyoo',-1
'kendini vazgeçilmez zanneden insanlardan vazgeçmek gibisi yok  ? ? ? ?',-1
'koca þehrin kalabalýðý benim yalnýzlýðýmla yarýþýyor',-1
'kalýyo böyle boðazýnda ne yutkunuyosun ne konusabiliyorsun hiyip bitiriyor bu senii ve sense öylece duruyorsun',-1
'ne kadar iðrenç bi gün hepiniz ölebilir mi',-1
'hep eksik diyorum ya o bile az',-1
'ömrümüzü yedin antalyaspor meydan polis merkez amirliði w mrv9807 httpstcou9ryvyzjcv',-1
'hoþçakal isparta 2 hafta sonra görüþmek üzere isparta burdur karayolu httpstcostig5ptd50',-1
'kulaðýna kulaklýk takan kul aklandýðýný sanýyor duyduðu sesin akýþýna göre yaþayýp kendi kararlarýný verdiðini sanýyor',-1
'sevdigim beye sahipli oldugu belli olsun diye tasma takmak isteyecek kadar kýskancým !',-1
'ben kýskanmam çýldýrýrým',-1
'bu kadar deðersiz önemsizz hissetmemeliydim bugün kendimi  ? ? karadeniz home o httpstcobgw5u5dihi',-1
'kafama taktým ulan para biriktirip alcam gerekirse',-1
'nerden aklýma geldiyse dilime takýldý  ? ? httptcount400cw7p',-1
'gençliðimin hayrý mý kalýr kendi gider adý kalýr',-1
'bana soguksun diyorlar hayýr sadece herkesle muhatap olmuyorum o kadar',-1
'her yer her þey herkes hep sen',-1
'yaþasýnþeref sizlik',-1
'hayýrlýsý b| dr necmettin þeyhoðlu stadyumu httpstcovvbjhfuznk',-1
'ciðerimiz soluyor bazen ayný þarkýyý dinlemekten',-1
'bugün anormal þeyler oluyor',-1
'dünya mý zor bünyem mi zayýf ?',-1
'sizin için baþkasýna çamur atan insan baþkasý için de size çamur atar karakter meselesi',-1
'sistemin aþýsý tutsaydý ruhunu fatiha okumaya hazýrdý imamlar',-1
'annemle fotograf çekilmek kadar zor biþey olamaz arkadaþ',-1
'çünkü þiir zengin fahiþelerin kalçasýna ritim deðil varoþ çocuklarýn beynine kan pompalýyo',-1
'ya sevgiizin amk siz hiç lolda 10 oyun üst üste bozgun alýdýnýz mý  ?',-1
'yeni kiþiler lazým diye diye herkesi eskittin aq kýzý',-1
'seviyorsan triplerime katlanmalýsýn  ? ?',-1
'tersini söyleme boþunaumrunda olan böyle davranmazdavranamaz',-1
'istanbula gidince ilk isim fâtih te deli gibi alýþveriþ yapmak olcaks',-1
'evveliyatýný sikiyim',-1
'duâlarýn yerini hayaller aldýðýndan beri zarardayýz',-1
'eski iþ yerine dönünce sanki 4 büyüklere transfer olup da tutunamayýp tekrar anadolu kulubüne dönen futbolcular gibi hissediyorum',-1
'olmadýðýn halde',-1
'ismin hala kalbimi kýrýyor',-1
'ulan nasýl kader var bende tam abimi ikna ettim dýþarý çýkalm diye dedem emre arabayi al gel hastaneye gidelim diyo bahtsiz bedeviyim resmen',-1
'yolbulan sessiz kalma dinle terbiyesizliði',-1
'galatasarayýn en büyük düþmanlarý içimizdeki galatasaraylýlar !',-1
'ünal aysal',-1
'þehirleri güzel yapan dostluklarmisbu yuzden dünyanýn en kötü sehrisin',-1
'mertten dayak yedim ses qes',-1
'ne içiyosanýz býrakýn',-1
'benim hücrelerim aç',-1
'sakinlik lazým sakin kalabilmek lazým nasýl yapcaz ?',-1
'özlem sýçtým senama',-1
'þu dünyaya kendimizi bu kadar kaptýrmayaydýk iyiydi',-1
'açýklayýn lan josue neden kadroda yok bursasporsk',-1
'beni öldürmeyen allah seni de güldürmesin o zaman',-1
'saðlýk bakanlýðý muezzinogludr bursa dosab kömürlü santralin halk saðlýðýna etkisi ile ilgili olumsuz görüþ versin httptcoagj7bdldbb',-1
'psikolojisi düzgün insanlarý sevmiyorum ya',-1
'whatsapl grubundaki kavga bitsin diye saçmalayan rumeysa d',-1
'canýmýn sýkýntýsý nasýl geçer',-1
'hiç düþünmeden konuþan insanlara hiç düþünmeden yazýp kalbini kýrmak istiyorum ama kiþiliðim buna uygun deðil sorun orda',-1
'daha dün arsýz bela dinleyen kýz bugün rap dinliyor komik d',-1
'twitter kullanmayan birisiyle arkadaþ olmak istemiyorum beni hiç anlamýyorlar',-1
'özlediðin birini görememek çok koyar',-1
'çocuk bana yazsana',-1
'yanýmdan geçen bu gölgeler benim deðil',-1
'bartu ile yediðimiz kazýkkkk',-1
'süriyeye gelmiþ gibi oldum kardeþ',-1
'kolay kolay vazgecemem bulmuþken',-1
'tatlim feysi kullanmiyosan kapatsana diyoyeak ya boþuna mý laykladim ben binlerce düðün fotosunu ? ?ben evlenmeden kapanmaz o feys ? ?',-1
'sünger bob patrick o bir sýfýr',-1
'kýrýldýðýn yerden kýracaksýn',-1
'sow oynayaydý iyiydi',-1
'benim olaný kýskanýrým diyemedim yala',-1
'resmen boþluktayým nasýl bir sýkýntýdýr bu laaaaannn',-1
've nihayet eve girebildim  ? ?',-1
'incirler olana kadar kalsaydýn bari  ?',-1
'herkes mi burda olur ? ? cikolata shop in antalya w wwweycel httpstcoiskbru66zk',-1
ofofofoofofofofof,-1
'adalet sarayý yazýyor bir de bir güldüm bir güldüm çaðlayan in istanbul türkiye httpstcoxtb3guo7gi',-1
'annecim hiç tuzla þeker ayný kaba konur mu  ? karanlýkta hangisi tuz hangisi þeker nerden biliyim ben gitti güzelim çorba ',-1
'ciðerini bildiðim insanlarýn yaptýðý davranýþlarý izlerken kariþmicam uyarmicam diye kendime baðýrýyorum ama tabiki karýþýcam',-1
'ne çok hüzün var sahi sabahtan baþlýyoruz hüzünlenmeye koca gün yetmiyor ertesi güne devrediyoruz bazý hüzünleri ? ? ? ? ? ?',-1
'mubistipin lakabi hayim olsun bence yine coktu tipini sevdigim',-1
'iyi günde kötü günde biz beraberizuçak rötar yapar biz bekleriz  ? ? ? ? ? ? ? ? cagdassince1903 dgknbaysal … httptcofz5tswsmev',-1
'olum bu benim hesabimi engelleyen 2 hesap ne istiyosunuz la benden',-1
'ölünmüyor mutsuzluktan canlý ispatýyým  ? ?',-1
'3 yýldýr tapu sicilini öðrenemiyor olmamýz da nomer kürsüsünü üzdü ? ? ? ?',-1
'vergimizden maaþ alip yine vergi verene hakaret edildiði bir dönemdeyizadamin maaþini veriyoruz hakaret iþitiyoruz',-1
'lodos fýrtýna tabi elektrikler gitti eskilere döndük  ? ? yeniler bilmez bunu  ? ? cans home httptcowioqhrvycl',-1
'nenemin anneme muhteþem önerisi arjini doktora gösterin çok uyuyor bu çocuk',-1
'bütün gün evde yatýp yorulabilen biriyim',-1
'git gide yaklaþýyorum uzaklara',-1
'son gun elveda kirmizi beyaz kirmizi beyaz in fatih httpstcozbapqu7olf',-1
'birileri çeksin þu uzunun ipini yeter lan ne demek seçim konuþmasý ne demek siatem deðiþikliði hitler böyle geldi haberiniz olsun',-1
'niye bu kadar kafamda kuruyorum',-1
'oturdum hangi boyutta haklý olduðunu düþünüyorum httptco8wgvorbgwl',-1
'sende otur bi düþün',-1
'tyreese ölemez  ? ? thewalkingdead',-1
'bi þu semayaaaaa durrrr desinnn smnr_adymn',-1
'herþeyimken hiçbiþeyim olmayý baþaran insanlar çok beceriklisiniz tebrikler  ? ?',-1
'habersiz geldiysen izinsiz gidemezsin o kadarnokta',-1
've bir tatil daha yanar',-1
'ulan en sevdigim kadin oyuncu dibime kadar geliyor ve goremiyorum',-1
'dudaðýmý yiye yiye dudaksýz kalcam diye korkuyorum',-1
'ulan istanbul oo mimar sinan teras cafe httptcot0xwjg5qjk',-1
'bu da sana yeter þimdi kudur istediðin kadar httptco5nceoph7ku',-1
'tren olayý çok duygusal aq ya ankara garý tcddemiryollari in ankara türkiye httpstcoikcxmrfmku',-1
'hayatta hiç bir þeyi planlama hayatin zaten senin için planlari vardir',-1
'çiþini 5 dakika tut sonra iþe al sana mutluluk',-1
'gs tekerlekli sandalye takimi sampiyonluklara bizi alistirirken biz onlarin paralarini odeyemiyorsak birileri kendilerini sorgulamali',-1
'hayalleri tecavüze uðramýþ bir grup insanýz biz',-1
' bizi neden kimse sevmiyor  ?',-1
' çünkü bizim yüregimiz onlarýn aþkýna büyük geliyor ',-1
'eskiler özlenir ama tekrar yaþanmaz',-1
'amk atik su icon resimleri kaldirin yada gotunuzu indirin',-1
'yürümeyi öðreneli moralim bozuk ',-1
'ben istedim ki sol tarafýnda bana ait ufakta olsa biþiler olsun',-1
'vay be ne gündü hiçbir þey olmadý yine',-1
'herþeyin üstüne cap ya da bere takarým ben sana ne ?',-1
'dibinizdeki insanlarýn veremediði huzuru bazen en uzaðýnýzdakiler verir',-1
'bir daha istanbulda tantuni yiyen adanalý olsun o nasýl bir þeydi öyle bunlar adamý tantuniden soðutur',-1
'internet ve wireless hizmeti vermeyen mekanlar siz kapatýn ya valla çok geri kaldýnýz ',-1
'bir ihtimalken bile ne kadar güzelsin !',-1
'bir adamýn adý cýkacagýna bence caný çýksýn  ? ',-1
'gelinimiz ameliyat oldu dualarinza ihtiyaç var acýbadem atakent hastanesi acibademsaglik httpstcotiptfiwrfb',-1
'kýrýlmak baþka biþey baþkasýnýn parçaladýðý batar her yerineçýkartýrken de kanar ! kimseye biþey olmaz senin canýn yanar !',-1
'bütün yük benim omuzlarýmda',-1
'welcome to cehennem  ? ? baðcýlar meydan in istanbul türkiye httpstcokpyvzb5mfb',-1
'bahçede ateþ yakmýþ serefsizler',-1
'seviyodun ya hani yine rol yapsana',-1
'moda da oturup keyfini çýkaramayan biri olarak söylüyorum moda çok güzel ? ? ? ?',-1
'gidemessin deme buralar dar geliyor bana  ? ? ? ?',-1
'yoruldum allahým ',-1
'bir mucize  ? ?',-1
'içimizde neler var boyle bir müzikle çalkalanan',-1
'artik yatakta haraket ederken bile yoruluyorum',-1
'kendimi nat geo wildde etrafýný 5 aslan sarmýs zürafa kadar bosvermis hissediyorum',-1
'kaybetmekten korktuðum ne varsa kaybettim ben',-1
'bi edebiyat fakültesinde bi forum istanbulda bide fatihin dar sokaklarýnda kaybolmaktan býktým aq',-1
'omuru yedin omrumu httptcofkdrx9ts0m',-1
'hadi bakalýmmm at sherlockankara in ankara httpstcopiduswxfvb httptcohzhgbisffw',-1
'ekmek calan cocuga 10 yil ',-1
'hapis cezasi verenletecavüzcüyü serbest birakan da ayni devlet ! !',-1
'yorgunluktan ölürkene  binici malikanesi httptco8btoefl6gq',-1
'borazanla bitmek bilmeyen fal sirasi  ? ? ? ? cafe daisy in izmir alsancak w berkayborazan httpstcod40uembj45',-1
'otostopta kaldim amk',-1
'tatilin bitmesine gerekvarmý',-1
'bi ara kýrmýzý pantol giyip etrafta çilekli max gibi gezen beyler vardý ne oldu onlara  ?',-1
'ibniþko erkekler genelde fenerbahçeli oluyor',-1
'ben deðil kader huzursuz',-1
'allahým ya',-1
'sevdiðine sadýk insan kalmamýþ',-1
'geldik yine ne sikim varsa aq lokal beer cafe in lüleburgaz türkiye w cnbrk_ygt httpstcoq6pa4uxcsx',-1
'anladým benden sogudun ama bilki çok güzel þeyler hayal etmiþtim',-1
'para verin bana diyim ya djdjdj',-1
'gelecek adýna hayaller kuran insanlarýn ertesi gün çekip gitmeleri sizcede çok komik deðil mi ?',-1
'efkarýmdandýr semadaki bulutlarýn grisi',-1
'onlarca insan içinde yapayalnýz kalmak',-1
'sanirim bu konvoy bilalin dogumgunu icindi hahahsjsjdjfj',-1
'yanlýzlýk üzerine master yapmakta güzel ya',-1
'seni gidi çakma izmirli  ? ? karþýyaka in izmir türkiye httpstcowntz5jicoz',-1
'ne yagni prens bulunana kadar kurbagalar felc mi olsun mk',-1
'senkronizenizin amk rehberim sikildi',-1
'hayýr artýk yanacak ciðer kalmadý',-1
'kendim niþanlanmýþ kadar yoruldum bu ne lan bi kere daha soðudum evlilikten',-1
'egzosumuz patlamýþtý aga moreller bozukkk  ? ? httptcoduxxoteuhu',-1
'tayyip reis susarak konuþuyor bilmeyen ise aðlar sýzlar beddua eder imamýn kayýðý ile türkiye geleceklere ithaf httptcoidfv4vv52s',-1
'olaylar olaylar  ? ? vurals home in izmir httpstco1kmpjb3cgw',-1
'hayallerle hayatlar eþleþmiyor',-1
'camý açýp depresyon stylaaaaa diye baðýracam valla o derece daraldým',-1
'yok dediðinde hiç mi yok diyen mantýðý biri bana açýklasýn bu insanlara gerekvarmý   ?',-1
'kilolu kýzlar neden göbeðini deldirirkii',-1
'k ?ybedecek birþeyim k ?lm ?dý k ?z ?nm ?y ? b ?þlýyorum ',-1
'anlamýyorum 35 günde aþýk olup 35 gün açý çekip35 gün sonra da nasýl baþkasýný seviyorsunuz ?',-1
'retrica ile bakýyorum hala cahilsin',-1
'delirdim hasretinle',-1
'favorim bu videobu adam muhalefetin genel baþkaný ya bu ülkede ',-1
'elinden tutup seni evimize götürmeye geldim hiç gelmezsin sanmýþtým sana son bir defa sarýlamam sanmýþtým ama þimdi daha zor',-1
'hayatýmýzý siktiniz teþekkür ediyoruz artýk 5 adýmda bir kahve deryasi gönül kahvesi soulmeyyytt cofffeeee sitarbaaakss',-1
'amýna koduklarým 3 haftadýr kitabý yazmýyorum biriniz bile niye yazmýyorsun diye sormuyorsunuz þimdi herkes kitabý yaz diye meþýn atsýn !',-1
'mavi gözlüler çok itici',-1
'ne sevenler gördüm ama hiç biri onun gibi sevmedi',-1
'insanlara olan güveniniz bukadar bittiyse demekki',-1
'gelin olmak çok yorucu olmayýn !',-1
'artýk göðsümde bir yara deðil bir türkü bir kavgasýn',-1
'sene 2015 millet hala camiden ayakkabi caliniyo',-1
'bir dili olsa sana sövecekleri çoktur yüreðimin',-1
'aysalin tabiri ile bir eleman 4 ay para almazsa nasil verimli olabilir ama duygun yarsuvat in cok umrunda oldugnu yaptiklarindn dusnmuyorum',-1
'trafik  ? ? tem mahmutbey giþeler in istanbul türkiye httpstcovhd3zlw1yj httptcofztpg0jdnw',-1
'insanin ruhu orospu olmasýn demisler',-1
'fatihle psikopata baðladýk mk sjdjf',-1
'hay aklýma tüküreyim ya bu soðukta kapýda kalýrým iþte böyle  ! ! ! !',-1
'sabahlarý kalkýp twittera instagrama bakmak yerine heyecanla çizgi filmlere baktýðým günleri özledim',-1
'aslýnda insan en çok sevdiðine kýrýlýr',-1
